Experiment,Model,NumFeatures,AUC,PR_AUC,BalancedAcc,F1,Sensitivity,Specificity,TP,TN,FP,FN,AUC_CI_lo,AUC_CI_hi
Volume_Only,LogReg_L1,23,0.6244,0.5633,0.6476,0.6462,0.6512,0.6439,84,85,47,45,0.5622,0.6903
Volume_Only,LogReg_ElasticNet,23,0.6187,0.5607,0.6475,0.6434,0.6434,0.6515,83,86,46,46,0.556,0.6872
Volume_Only,SVM_RBF,23,0.6273,0.578,0.5901,0.59,0.5969,0.5833,77,77,55,52,0.5618,0.692
Volume_Only,RandomForest,23,0.6162,0.5694,0.6174,0.6324,0.6667,0.5682,86,75,57,43,0.5514,0.6808
Volume_Only,XGBoost,23,0.5789,0.5626,0.5866,0.597,0.6202,0.553,80,73,59,49,0.5115,0.6463
Volume_Only,LightGBM,23,0.6044,0.5751,0.5941,0.5985,0.6124,0.5758,79,76,56,50,0.5415,0.6703
Intratumoral_Only,LogReg_L1,59,0.6994,0.6847,0.6699,0.6504,0.6202,0.7197,80,95,37,49,0.6373,0.7598
Intratumoral_Only,LogReg_ElasticNet,59,0.7099,0.7047,0.6702,0.6587,0.6434,0.697,83,92,40,46,0.6484,0.7668
Intratumoral_Only,SVM_RBF,59,0.6705,0.6573,0.624,0.6048,0.5814,0.6667,75,88,44,54,0.6046,0.7338
Intratumoral_Only,RandomForest,59,0.6934,0.697,0.6437,0.6409,0.6434,0.6439,83,85,47,46,0.6316,0.7542
Intratumoral_Only,XGBoost,59,0.6717,0.6559,0.6475,0.6434,0.6434,0.6515,83,86,46,46,0.6082,0.7325
Intratumoral_Only,LightGBM,59,0.6819,0.6692,0.6168,0.6124,0.6124,0.6212,79,82,50,50,0.6156,0.7415
All_Radiomics,LogReg_L1,139,0.6667,0.6666,0.6433,0.6295,0.6124,0.6742,79,89,43,50,0.6008,0.7291
All_Radiomics,LogReg_ElasticNet,139,0.6667,0.6848,0.6166,0.6063,0.5969,0.6364,77,84,48,52,0.6024,0.727
All_Radiomics,SVM_RBF,139,0.6682,0.6547,0.6127,0.5976,0.5814,0.6439,75,85,47,54,0.6036,0.7329
All_Radiomics,RandomForest,139,0.6704,0.6596,0.6401,0.6439,0.6589,0.6212,85,82,50,44,0.6067,0.7354
All_Radiomics,XGBoost,139,0.6683,0.657,0.617,0.6183,0.6279,0.6061,81,80,52,48,0.6045,0.7347
All_Radiomics,LightGBM,139,0.6673,0.6387,0.6093,0.6107,0.6202,0.5985,80,79,53,49,0.6003,0.7301
