Experiment,Model,NumFeatures,AUC,BalancedAcc,AUC_CI_lo,AUC_CI_hi
T1Gd_Tumor_Only,LogReg_L1,56,0.4782,0.4891,0.3913,0.5752
T1Gd_Tumor_Only,SVM_RBF,56,0.5064,0.4788,0.3855,0.6405
T1Gd_Tumor_Only,RandomForest,56,0.5622,0.5702,0.4366,0.6876
T1Gd_Tumor_Only,XGBoost,56,0.5378,0.583,0.4093,0.6636
Tumor_T1Gd+FLAIR,LogReg_L1,112,0.4782,0.4891,0.3913,0.5752
Tumor_T1Gd+FLAIR,SVM_RBF,112,0.4853,0.4801,0.3707,0.6091
Tumor_T1Gd+FLAIR,RandomForest,112,0.5346,0.5439,0.405,0.6638
Tumor_T1Gd+FLAIR,XGBoost,112,0.4949,0.5186,0.37,0.6329
Tumor+Ring5mm,LogReg_L1,224,0.6699,0.6465,0.5447,0.7939
Tumor+Ring5mm,SVM_RBF,224,0.5955,0.5817,0.4679,0.7263
Tumor+Ring5mm,RandomForest,224,0.6077,0.6074,0.4824,0.7364
Tumor+Ring5mm,XGBoost,224,0.5952,0.5824,0.458,0.7148
All_Regions,LogReg_L1,336,0.6032,0.5699,0.4699,0.726
All_Regions,SVM_RBF,336,0.5538,0.5821,0.4296,0.6818
All_Regions,RandomForest,336,0.6064,0.608,0.4948,0.7296
All_Regions,XGBoost,336,0.6109,0.5949,0.5001,0.7379
