Feature,Region,MeanAbsSHAP
t1gd_original_firstorder_Skewness,t1gd,0.0424766579728483
t1gd_original_firstorder_Minimum,t1gd,0.03686581971102901
flair_original_glcm_Autocorrelation,flair,0.0258885908275542
t1gd_original_firstorder_Energy,t1gd,0.024649858470614138
t1gd_original_shape_Maximum2DDiameterRow,t1gd,0.024645253131400174
t1gd_original_gldm_LargeDependenceHighGrayLevelEmphasis,t1gd,0.02460597008739276
flair_original_ngtdm_Contrast,flair,0.018115455538134154
t1gd_original_shape_Elongation,t1gd,0.007841615174174227
flair_original_glszm_ZonePercentage,flair,0.007067959286818465
t1gd_original_shape_MajorAxisLength,t1gd,0.00647915928206507
t1gd_original_glcm_Autocorrelation,t1gd,0.005139429187414688
flair_original_glrlm_LongRunEmphasis,flair,0.004453629691572439
flair_original_glszm_LargeAreaHighGrayLevelEmphasis,flair,0.004154942117800814
t1gd_original_firstorder_InterquartileRange,t1gd,0.002273871998592454
flair_original_glrlm_GrayLevelNonUniformity,flair,0.0016968597601848062
t1gd_original_ngtdm_Complexity,t1gd,0.0008773345056903081
flair_original_ngtdm_Complexity,flair,0.0008357403877886169
flair_original_firstorder_Maximum,flair,0.0007962125223142961
flair_original_firstorder_Minimum,flair,0.0006330532477212504
flair_original_glszm_ZoneEntropy,flair,0.0006274260581258179
t1gd_original_glrlm_GrayLevelNonUniformity,t1gd,0.0006226850670893295
t1gd_original_shape_Maximum2DDiameterSlice,t1gd,0.000591452250362277
flair_original_firstorder_Entropy,flair,0.0005698549718715678
flair_original_glcm_Correlation,flair,0.0005682218456641081
flair_original_glszm_LargeAreaLowGrayLevelEmphasis,flair,0.0005368546926280821
flair_original_firstorder_Skewness,flair,0.0005243114063615472
t1gd_original_glszm_ZoneEntropy,t1gd,0.0005019466291535949
flair_original_firstorder_Kurtosis,flair,0.00048613989971784977
flair_original_glszm_SizeZoneNonUniformity,flair,0.0004855289904109258
flair_original_glcm_Idmn,flair,0.0004842585946342007
flair_original_firstorder_Mean,flair,0.00044930241262912233
t1gd_original_ngtdm_Contrast,t1gd,0.00042883408674930496
t1gd_original_shape_SurfaceVolumeRatio,t1gd,0.0004097615192115108
t1gd_original_firstorder_Entropy,t1gd,0.00040221592057291996
t1gd_original_glcm_ClusterProminence,t1gd,0.00038726169060371404
t1gd_original_shape_Maximum2DDiameterColumn,t1gd,0.00038430707786374515
t1gd_original_shape_MinorAxisLength,t1gd,0.0003807719487406189
t1gd_original_glszm_LargeAreaEmphasis,t1gd,0.00037281110902030344
t1gd_original_firstorder_90Percentile,t1gd,0.0003669289802789622
flair_original_firstorder_Energy,flair,0.0003618063433801249
flair_original_firstorder_90Percentile,flair,0.00035916928730897013
flair_original_glcm_Imc2,flair,0.00034835280980532416
t1gd_original_glcm_Contrast,t1gd,0.00034607153265599715
t1gd_original_firstorder_Kurtosis,t1gd,0.0003404729238900391
t1gd_original_glszm_LargeAreaHighGrayLevelEmphasis,t1gd,0.0003269692999849434
t1gd_original_firstorder_Mean,t1gd,0.00032444989435473695
t1gd_original_glcm_ClusterShade,t1gd,0.0003185938087017307
flair_original_ngtdm_Strength,flair,0.0003143466659054368
t1gd_original_shape_Flatness,t1gd,0.0003026292984089477
t1gd_original_shape_LeastAxisLength,t1gd,0.00029816390132572217
t1gd_original_ngtdm_Busyness,t1gd,0.00028645387248289717
t1gd_original_glszm_LargeAreaLowGrayLevelEmphasis,t1gd,0.00028606583691149145
flair_original_firstorder_10Percentile,flair,0.00028423198668276893
t1gd_original_shape_Sphericity,t1gd,0.0002758402437473499
t1gd_original_firstorder_Maximum,t1gd,0.00027077998493326685
t1gd_original_firstorder_10Percentile,t1gd,0.000270411627494524
t1gd_original_firstorder_Range,t1gd,0.00026360626290106214
flair_original_glcm_Contrast,flair,0.00024494084406657794
flair_original_gldm_LargeDependenceHighGrayLevelEmphasis,flair,0.00022970409888947016
